[E4] warmup_done iters=13827 seconds=3.089
[E4] progress elapsed_sec=1.0 iters=4535 iter_per_sec=4520.637
[E4] progress elapsed_sec=2.0 iters=8725 iter_per_sec=4350.110
[E4] progress elapsed_sec=3.0 iters=12946 iter_per_sec=4305.144
[E4] progress elapsed_sec=4.0 iters=17106 iter_per_sec=4266.403
[E4] progress elapsed_sec=5.0 iters=21299 iter_per_sec=4251.732
[E4] progress elapsed_sec=6.0 iters=25498 iter_per_sec=4240.100
[E4] progress elapsed_sec=7.0 iters=29733 iter_per_sec=4239.359
[E4] progress elapsed_sec=8.0 iters=33883 iter_per_sec=4226.052
[E4] progress elapsed_sec=9.0 iters=38091 iter_per_sec=4221.582
[E4] progress elapsed_sec=10.0 iters=42280 iter_per_sec=4218.312
[E4] progress elapsed_sec=11.0 iters=46487 iter_per_sec=4215.153
[E4] progress elapsed_sec=12.0 iters=50688 iter_per_sec=4213.939
[E4] progress elapsed_sec=13.0 iters=54861 iter_per_sec=4210.736
[E4] progress elapsed_sec=14.0 iters=59054 iter_per_sec=4209.034
[E4] progress elapsed_sec=15.0 iters=63247 iter_per_sec=4207.961
[E4] progress elapsed_sec=16.0 iters=67434 iter_per_sec=4206.127
[E4] progress elapsed_sec=17.0 iters=71618 iter_per_sec=4204.524
[E4] progress elapsed_sec=18.0 iters=75843 iter_per_sec=4205.090
[E4] progress elapsed_sec=19.0 iters=80082 iter_per_sec=4206.410
[E4] progress elapsed_sec=20.0 iters=84447 iter_per_sec=4213.719
[E4] progress elapsed_sec=21.0 iters=88656 iter_per_sec=4213.489
[E4] progress elapsed_sec=22.0 iters=92849 iter_per_sec=4211.580
[E4] progress elapsed_sec=23.0 iters=97044 iter_per_sec=4210.552
[E4] progress elapsed_sec=24.1 iters=101244 iter_per_sec=4209.591
[E4] progress elapsed_sec=25.1 iters=105475 iter_per_sec=4209.900
[E4] progress elapsed_sec=26.1 iters=109628 iter_per_sec=4207.647
[E4] progress elapsed_sec=27.1 iters=113826 iter_per_sec=4206.900
[E4] progress elapsed_sec=28.1 iters=118043 iter_per_sec=4206.175
[E4] progress elapsed_sec=29.1 iters=122241 iter_per_sec=4205.518
[E4] progress elapsed_sec=30.1 iters=126449 iter_per_sec=4204.899
[E4] progress elapsed_sec=31.1 iters=130678 iter_per_sec=4205.672
[E4] progress elapsed_sec=32.1 iters=134845 iter_per_sec=4203.764
[E4] progress elapsed_sec=33.1 iters=139055 iter_per_sec=4203.234
[E4] progress elapsed_sec=34.1 iters=143275 iter_per_sec=4203.721
[E4] progress elapsed_sec=35.1 iters=147428 iter_per_sec=4202.101
[E4] progress elapsed_sec=36.1 iters=151638 iter_per_sec=4202.316
[E4] progress elapsed_sec=37.1 iters=155813 iter_per_sec=4201.262
[E4] progress elapsed_sec=38.1 iters=160000 iter_per_sec=4200.880
[E4] progress elapsed_sec=39.1 iters=164217 iter_per_sec=4201.240
[E4] progress elapsed_sec=40.1 iters=168394 iter_per_sec=4200.179
[E4] progress elapsed_sec=41.1 iters=172604 iter_per_sec=4199.852
[E4] progress elapsed_sec=42.1 iters=176835 iter_per_sec=4200.163
[E4] progress elapsed_sec=43.1 iters=181000 iter_per_sec=4199.199
[E4] progress elapsed_sec=44.1 iters=185195 iter_per_sec=4198.776
[E4] progress elapsed_sec=45.1 iters=189406 iter_per_sec=4198.500
[E4] progress elapsed_sec=46.1 iters=193615 iter_per_sec=4198.251
[E4] progress elapsed_sec=47.1 iters=197805 iter_per_sec=4198.001
[E4] progress elapsed_sec=48.1 iters=202019 iter_per_sec=4197.779
[E4] progress elapsed_sec=49.1 iters=206208 iter_per_sec=4197.598
[E4] progress elapsed_sec=50.1 iters=210421 iter_per_sec=4197.312
[E4] progress elapsed_sec=51.1 iters=214647 iter_per_sec=4197.659
[E4] progress elapsed_sec=52.1 iters=218813 iter_per_sec=4196.873
[E4] progress elapsed_sec=53.1 iters=222997 iter_per_sec=4196.541
[E4] progress elapsed_sec=54.1 iters=227197 iter_per_sec=4196.353
[E4] progress elapsed_sec=55.1 iters=231390 iter_per_sec=4196.200
[E4] progress elapsed_sec=56.1 iters=235607 iter_per_sec=4196.041
[E4] progress elapsed_sec=57.2 iters=239806 iter_per_sec=4195.883
[E4] progress elapsed_sec=58.2 iters=244026 iter_per_sec=4196.195
[E4] progress elapsed_sec=59.2 iters=248185 iter_per_sec=4195.565
[E4] result seconds=60.082 iters=251730 iter_per_sec=4189.804649
