[E5] warmup_done iters=13736 seconds=3.084
[E5] progress elapsed_sec=1.0 iters=4535 iter_per_sec=4520.501
[E5] progress elapsed_sec=7.3 iters=4536 iter_per_sec=621.541
[E5] progress elapsed_sec=8.3 iters=9566 iter_per_sec=1152.766
[E5] progress elapsed_sec=9.3 iters=14042 iter_per_sec=1509.373
[E5] progress elapsed_sec=10.3 iters=18414 iter_per_sec=1787.182
[E5] progress elapsed_sec=11.3 iters=22623 iter_per_sec=2001.019
[E5] progress elapsed_sec=17.7 iters=22624 iter_per_sec=1279.367
[E5] progress elapsed_sec=18.7 iters=27568 iter_per_sec=1475.158
[E5] progress elapsed_sec=19.7 iters=32084 iter_per_sec=1629.341
[E5] progress elapsed_sec=20.7 iters=36538 iter_per_sec=1765.432
[E5] progress elapsed_sec=21.7 iters=40728 iter_per_sec=1877.147
[E5] progress elapsed_sec=28.8 iters=40729 iter_per_sec=1415.847
[E5] progress elapsed_sec=29.8 iters=45970 iter_per_sec=1544.244
[E5] progress elapsed_sec=30.8 iters=50466 iter_per_sec=1639.836
[E5] progress elapsed_sec=31.8 iters=54791 iter_per_sec=1724.135
[E5] progress elapsed_sec=32.8 iters=58964 iter_per_sec=1798.792
[E5] progress elapsed_sec=33.8 iters=63165 iter_per_sec=1869.905
[E5] progress elapsed_sec=34.8 iters=67361 iter_per_sec=1936.427
[E5] progress elapsed_sec=41.9 iters=67362 iter_per_sec=1609.189
[E5] progress elapsed_sec=42.9 iters=72483 iter_per_sec=1691.095
[E5] progress elapsed_sec=43.9 iters=76945 iter_per_sec=1754.212
[E5] progress elapsed_sec=44.9 iters=81246 iter_per_sec=1810.979
[E5] progress elapsed_sec=45.9 iters=85458 iter_per_sec=1863.330
[E5] progress elapsed_sec=52.3 iters=85459 iter_per_sec=1635.439
[E5] progress elapsed_sec=53.3 iters=90388 iter_per_sec=1697.284
[E5] progress elapsed_sec=54.3 iters=94897 iter_per_sec=1748.999
[E5] progress elapsed_sec=55.3 iters=99341 iter_per_sec=1797.770
[E5] progress elapsed_sec=56.3 iters=103533 iter_per_sec=1840.172
[E5] progress elapsed_sec=57.3 iters=107753 iter_per_sec=1881.684
[E5] progress elapsed_sec=58.3 iters=111927 iter_per_sec=1920.885
[E5] progress elapsed_sec=65.3 iters=111928 iter_per_sec=1712.951
[E5] result seconds=65.343 iters=111928 iter_per_sec=1712.937956
