[E5] warmup_done iters=13831 seconds=3.090
[E5] progress elapsed_sec=1.0 iters=4523 iter_per_sec=4521.775
[E5] progress elapsed_sec=7.3 iters=4524 iter_per_sec=620.623
[E5] progress elapsed_sec=8.3 iters=9482 iter_per_sec=1143.463
[E5] progress elapsed_sec=9.3 iters=14031 iter_per_sec=1509.500
[E5] progress elapsed_sec=10.3 iters=18464 iter_per_sec=1792.813
[E5] progress elapsed_sec=11.3 iters=22495 iter_per_sec=1990.374
[E5] progress elapsed_sec=12.3 iters=25827 iter_per_sec=2099.428
[E5] progress elapsed_sec=13.3 iters=29962 iter_per_sec=2251.584
[E5] progress elapsed_sec=20.4 iters=29963 iter_per_sec=1470.156
[E5] progress elapsed_sec=21.4 iters=34997 iter_per_sec=1636.778
[E5] progress elapsed_sec=22.4 iters=39530 iter_per_sec=1765.972
[E5] progress elapsed_sec=23.4 iters=43947 iter_per_sec=1878.922
[E5] progress elapsed_sec=24.4 iters=48146 iter_per_sec=1973.661
[E5] progress elapsed_sec=25.4 iters=52363 iter_per_sec=2061.958
[E5] progress elapsed_sec=26.4 iters=56543 iter_per_sec=2141.775
[E5] progress elapsed_sec=33.5 iters=56544 iter_per_sec=1689.319
[E5] progress elapsed_sec=34.5 iters=61690 iter_per_sec=1789.500
[E5] progress elapsed_sec=35.5 iters=66386 iter_per_sec=1871.167
[E5] progress elapsed_sec=36.5 iters=70744 iter_per_sec=1939.282
[E5] progress elapsed_sec=37.5 iters=74619 iter_per_sec=1990.684
[E5] progress elapsed_sec=38.5 iters=77587 iter_per_sec=2015.834
[E5] progress elapsed_sec=39.5 iters=81599 iter_per_sec=2066.201
[E5] progress elapsed_sec=46.6 iters=81600 iter_per_sec=1752.529
[E5] progress elapsed_sec=47.6 iters=86628 iter_per_sec=1821.205
[E5] progress elapsed_sec=48.6 iters=91168 iter_per_sec=1877.013
[E5] progress elapsed_sec=49.6 iters=95573 iter_per_sec=1928.010
[E5] progress elapsed_sec=50.6 iters=99773 iter_per_sec=1972.710
[E5] progress elapsed_sec=51.6 iters=103981 iter_per_sec=2016.048
[E5] progress elapsed_sec=52.6 iters=108150 iter_per_sec=2056.933
[E5] progress elapsed_sec=59.7 iters=108151 iter_per_sec=1812.984
[E5] result seconds=60.034 iters=109973 iter_per_sec=1831.846032
