[E5] warmup_done iters=13803 seconds=3.090
[E5] progress elapsed_sec=1.0 iters=4525 iter_per_sec=4522.512
[E5] progress elapsed_sec=2.0 iters=8717 iter_per_sec=4350.727
[E5] progress elapsed_sec=3.0 iters=12948 iter_per_sec=4305.755
[E5] progress elapsed_sec=4.0 iters=17099 iter_per_sec=4267.053
[E5] progress elapsed_sec=5.0 iters=21310 iter_per_sec=4255.845
[E5] progress elapsed_sec=6.0 iters=25520 iter_per_sec=4245.498
[E5] progress elapsed_sec=7.0 iters=29690 iter_per_sec=4233.001
[E5] progress elapsed_sec=8.6 iters=29691 iter_per_sec=3460.189
[E5] progress elapsed_sec=9.6 iters=34579 iter_per_sec=3608.060
[E5] progress elapsed_sec=10.6 iters=39083 iter_per_sec=3691.832
[E5] progress elapsed_sec=11.6 iters=43547 iter_per_sec=3758.097
[E5] progress elapsed_sec=12.6 iters=47746 iter_per_sec=3792.328
[E5] progress elapsed_sec=13.6 iters=51957 iter_per_sec=3821.440
[E5] progress elapsed_sec=14.6 iters=56150 iter_per_sec=3846.498
[E5] progress elapsed_sec=15.6 iters=60367 iter_per_sec=3868.554
[E5] progress elapsed_sec=16.6 iters=64568 iter_per_sec=3887.460
[E5] progress elapsed_sec=17.6 iters=68756 iter_per_sec=3904.505
[E5] progress elapsed_sec=18.6 iters=72974 iter_per_sec=3919.919
[E5] progress elapsed_sec=19.6 iters=77212 iter_per_sec=3935.209
[E5] progress elapsed_sec=20.6 iters=81395 iter_per_sec=3946.201
[E5] progress elapsed_sec=21.6 iters=85622 iter_per_sec=3958.700
[E5] progress elapsed_sec=22.6 iters=89791 iter_per_sec=3967.545
[E5] progress elapsed_sec=23.6 iters=93987 iter_per_sec=3977.211
[E5] progress elapsed_sec=25.7 iters=93988 iter_per_sec=3659.046
[E5] progress elapsed_sec=26.7 iters=98882 iter_per_sec=3705.010
[E5] progress elapsed_sec=27.7 iters=103378 iter_per_sec=3733.266
[E5] progress elapsed_sec=28.7 iters=107843 iter_per_sec=3758.580
[E5] progress elapsed_sec=29.7 iters=112058 iter_per_sec=3773.947
[E5] progress elapsed_sec=30.7 iters=116247 iter_per_sec=3786.720
[E5] progress elapsed_sec=31.7 iters=120436 iter_per_sec=3799.380
[E5] progress elapsed_sec=32.7 iters=124644 iter_per_sec=3811.304
[E5] progress elapsed_sec=33.7 iters=128853 iter_per_sec=3823.104
[E5] progress elapsed_sec=34.7 iters=133015 iter_per_sec=3832.746
[E5] progress elapsed_sec=35.7 iters=137202 iter_per_sec=3842.667
[E5] progress elapsed_sec=36.7 iters=141396 iter_per_sec=3852.006
[E5] progress elapsed_sec=37.7 iters=145625 iter_per_sec=3861.663
[E5] progress elapsed_sec=38.7 iters=149806 iter_per_sec=3869.367
[E5] progress elapsed_sec=39.7 iters=154026 iter_per_sec=3878.123
[E5] progress elapsed_sec=40.7 iters=158203 iter_per_sec=3885.052
[E5] progress elapsed_sec=41.7 iters=162400 iter_per_sec=3892.304
[E5] progress elapsed_sec=43.8 iters=162401 iter_per_sec=3708.541
[E5] progress elapsed_sec=44.8 iters=167325 iter_per_sec=3735.396
[E5] progress elapsed_sec=45.8 iters=171819 iter_per_sec=3751.786
[E5] progress elapsed_sec=46.8 iters=176271 iter_per_sec=3766.530
[E5] progress elapsed_sec=47.8 iters=180493 iter_per_sec=3775.948
[E5] progress elapsed_sec=48.8 iters=184669 iter_per_sec=3784.145
[E5] progress elapsed_sec=49.8 iters=188865 iter_per_sec=3791.901
[E5] progress elapsed_sec=50.8 iters=193062 iter_per_sec=3799.872
[E5] progress elapsed_sec=51.8 iters=197272 iter_per_sec=3807.726
[E5] progress elapsed_sec=52.8 iters=201440 iter_per_sec=3814.264
[E5] progress elapsed_sec=53.8 iters=205661 iter_per_sec=3821.755
[E5] progress elapsed_sec=54.8 iters=209823 iter_per_sec=3827.897
[E5] progress elapsed_sec=55.8 iters=214051 iter_per_sec=3835.065
[E5] progress elapsed_sec=56.8 iters=218212 iter_per_sec=3840.581
[E5] progress elapsed_sec=57.8 iters=222440 iter_per_sec=3847.090
[E5] progress elapsed_sec=58.8 iters=226620 iter_per_sec=3852.390
[E5] progress elapsed_sec=59.8 iters=230832 iter_per_sec=3858.014
[E5] progress elapsed_sec=61.9 iters=230833 iter_per_sec=3729.297
[E5] result seconds=61.898 iters=230833 iter_per_sec=3729.261046
